#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2021ko Hasierako kreditua,Behin-betiko kreditua,Behartua
0110,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,1153308.0,1153308.0,
0110,9121,12000,,Funtzionarioen oinarrizko ordainsariak,54499.0,54499.0,
0110,9121,12100,,Funtzionarioen ordainsari osagarriak,71896.0,71896.0,
0110,9121,14100,,Bestelako langileak,0.0,0.0,
0110,9121,16000,,"Gizarte Segurantza, enpresaren kontura",389528.0,389528.0,
0110,9121,16500,,"Elkarkidetzako kuotak, Udalaren kontura",2934.0,2934.0,
0110,9123,22695,,Bestelako hainbat gastu. Sindikoaren bulegoa.,700.0,700.0,
0110,9123,22699,,Bestelako hainbat gastu,1727.0,1727.0,
0111,2328,11000,,Kabineteko behin-behineko langileen ordainsariak,71675.0,71675.0,
0111,2328,12000,,Funtzionarioen oinarrizko ordainsariak,77709.0,77709.0,
0111,2328,12100,,Funtzionarioen ordainsari osagarriak,77904.0,77904.0,
0111,2328,16000,,"Gizarte Segurantza, enpresaren kontura",53756.0,53756.0,
0111,2328,16500,,"Elkarkidetzako kuotak, Udalaren kontura",1544.0,1544.0,
0111,4332,22701,,Proiektu komunitarioak bultzatzea,40000.0,40000.0,
0111,4332,22707,,Azterlanak eta lan teknikoak,40000.0,40000.0,
0111,4332,22743,,Proiektu estrategikoak eta hiriko ekitaldiak,110000.0,110000.0,
0111,4332,48160,,Hitzarmena: Green Deal,40000.0,40000.0,
0112,2301,12000,,Funtzionarioen oinarrizko ordainsariak,149964.0,149964.0,
0112,2301,12100,,Funtzionarioen ordainsari osagarriak,186106.0,186106.0,
0112,2301,14100,,Bestelako langileak,37203.0,37203.0,
0112,2301,16000,,"Gizarte Segurantza, enpresaren kontura",101307.0,101307.0,
0112,2301,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7116.0,7116.0,
0116,2371,12000,,Funtzionarioen oinarrizko ordainsariak,151464.0,151464.0,
0116,2371,12100,,Funtzionarioen ordainsari osagarriak,185096.0,185096.0,
0116,2371,14100,,Bestelako langileak,114747.0,114747.0,
0116,2371,16000,,"Gizarte Segurantza, enpresaren kontura",121462.0,121462.0,
0116,2371,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7623.0,7623.0,
0116,2371,22115,,Berariazko material teknikoa - Gazteria,100.0,100.0,
0116,2371,22734,,Aisialdi eta denbora libreko programa,364000.0,364000.0,
0116,2371,22736,,Gazteria Zerbitzuaren kontratua,106500.0,106500.0,
0116,2371,22737,,Gazteen Argibideetarako Udal Bulegoa,6000.0,6000.0,
0116,2371,22775,,Gazte Plana,100000.0,100000.0,
0116,2371,41924,,Hitzarmena: Euskadiko Gazteria Kontseilua - Gazteen partaidetzaren sustapena,10500.0,10500.0,
0116,2371,48935,,Gazteriako dirulaguntza deialdi orokorra,25000.0,25000.0,
0116,2371,48936,,Irakaskuntza Ertainetako gazte informatzaileen deialdia,10000.0,10000.0,
0116,2371,62505,,Bestelako tresnak,1000.0,1000.0,
0116,2371,62800,,"Argitalpenak eta liburuak erostea, Gazteen Argibideetarako Bulegorako",1000.0,1000.0,
0125,9124,12000,,Funtzionarioen oinarrizko ordainsariak,108912.0,108912.0,
0125,9124,12100,,Funtzionarioen ordainsari osagarriak,176446.0,176446.0,
0125,9124,14100,,Bestelako langileak,79194.0,79194.0,
0125,9124,16000,,"Gizarte Segurantza, enpresaren kontura",99368.0,99368.0,
0125,9124,16500,,"Elkarkidetzako kuotak, Udalaren kontura",7236.0,7236.0,
0126,9124,11000,,Kabineteko behin-behineko langileen ordainsariak,1.0,1.0,
0130,9201,11000,,Kabineteko behin-behineko langileen ordainsariak,85614.0,85614.0,
0130,9201,12000,,Funtzionarioen oinarrizko ordainsariak,225787.0,225787.0,
0130,9201,12100,,Funtzionarioen ordainsari osagarriak,341249.0,341249.0,
0130,9201,16000,,"Gizarte Segurantza, enpresaren kontura",122160.0,122160.0,
0130,9201,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10300.0,10300.0,
0130,9201,22610,,Kalte-ordainak,1000.0,1000.0,
0130,9201,22617,,"Ordainsariak, minutak",30000.0,30000.0,
0145,9121,11000,,Kabineteko behin-behineko langileen ordainsariak,166036.0,166036.0,
0145,9121,16000,,"Gizarte Segurantza, enpresaren kontura",31132.0,31132.0,
0160,2381,12000,,Funtzionarioen oinarrizko ordainsariak,136612.0,136612.0,
0160,2381,12100,,Funtzionarioen ordainsari osagarriak,152266.0,152266.0,
0160,2381,14100,,Bestelako langileak,16536.0,16536.0,
0160,2381,16000,,"Gizarte Segurantza, enpresaren kontura",83010.0,83010.0,
0160,2381,16500,,"Elkarkidetzako kuotak, Udalaren kontura",4066.0,4066.0,
0160,2381,22711,,Berdintasun Plana,65000.0,65000.0,
0160,2381,22712,,Jabetze feministarako eskola,130000.0,130000.0,
0160,2381,22713,,Indarkeria matxistaren prebentzioa eta arreta,80000.0,80000.0,
0160,2381,22714,,Sexu- eta genero-aniztasunerako agenda,40000.0,40000.0,
0160,2381,47132,,Hitzarmena: Emakumeen etxearen kudeaketa,80000.0,80000.0,
0160,2381,48120,,Hitzarmena: LGTBI behatokia,75000.0,75000.0,
0160,2381,48139,,Emakume elkarteentzako diru-laguntza deialdia,65000.0,65000.0,
0160,2381,62925,,Observatorio LGTBI,20000.0,20000.0,
0171,3351,12000,,Funtzionarioen oinarrizko ordainsariak,203279.0,203279.0,
0171,3351,12100,,Funtzionarioen ordainsari osagarriak,215049.0,215049.0,
0171,3351,14100,,Bestelako langileak,0.0,0.0,
